plan_year,calendar_year,portfolio_value,net_cash_flow,portfolio_return,equity_return,bond_return,equity_allocation,bond_allocation,cash_allocation,total_contributions,total_withdrawals,life_stage
0,2000,188974.07398095727,77621.86162387126,0.11352212357086028,0.1312899763897832,0.049934283060224655,0.8,0.15,0.05,77621.86162387126,0.0,Young Family
1,2001,245993.13221064897,77621.86162387126,-0.10902449717126639,-0.14451213033469104,0.03723471397657631,0.8,0.15,0.05,155243.7232477425,0.0,Young Family
2,2002,315886.13116730424,77621.86162387126,-0.03141901807485248,-0.0504526046114432,0.05295377076201385,0.8,0.15,0.05,232865.58487161377,0.0,Young Family
3,2003,360749.5640280092,77621.86162387126,-0.10370328270542613,-0.14409046534331274,0.07046059712816051,0.8,0.15,0.05,310487.446495485,0.0,Young Family
4,2004,354745.07286279404,77621.86162387126,-0.23181276189316063,-0.29763787721123824,0.035316932505533284,0.8,0.15,0.05,388109.3081193563,0.0,Young Family
5,2005,421634.93333773955,71621.86162387126,-0.013339159613235677,-0.02454593592798517,0.035317260861016386,0.8,0.15,0.05,459731.16974322754,0.0,Young Family
6,2006,421426.84049094754,71621.86162387126,-0.1703605389194016,-0.3230596930207432,0.07158425631014784,0.6,0.3,0.1,531353.0313670988,0.0,Education Period
7,2007,433073.46472832456,71621.86162387126,-0.1423147071425854,-0.2681988591958381,0.055348694583058175,0.6,0.3,0.1,602974.89299097,0.0,Education Period
8,2008,568943.8680656777,71621.86162387126,0.1483548334086601,0.22861946620711635,0.030610512281300958,0.6,0.3,0.1,674596.7546148413,0.0,Education Period
9,2009,490984.1721364361,71621.86162387126,-0.2629109231138519,-0.4669438056256129,0.05085120087171929,0.6,0.3,0.1,746218.6162387126,0.0,Education Period
10,2010,168250.31588344113,-172378.13837612874,-0.30623332972755174,-0.5290880392844616,0.030731646143750756,0.6,0.3,0.1,746218.6162387126,172378.13837612874,Education Period
11,2011,202327.9374848724,77621.86162387126,-0.2588062898651919,-0.45001985223961727,0.030685404928594864,0.6,0.3,0.1,823840.4778625838,172378.13837612874,Education Period
12,2012,262744.18697383185,77621.86162387126,-0.08503824211719777,-0.16748335957765662,0.04483924543132068,0.6,0.3,0.1,901462.3394864551,172378.13837612874,Education Period
13,2013,273293.13884598477,77621.86162387126,-0.2552783775132521,-0.42966449340884216,0.0017343951068440402,0.6,0.3,0.1,979084.2011103263,172378.13837612874,Education Period
14,2014,329933.6271203444,77621.86162387126,-0.07677241162404656,-0.13403817438161394,0.005501643349739342,0.6,0.3,0.1,1056706.0627341976,172378.13837612874,Education Period
15,2015,411120.21294730215,77621.86162387126,0.010804367636604232,0.00029682135341678115,0.028754249415180545,0.6,0.3,0.1,1134327.924358069,172378.13837612874,Education Period
16,2016,387748.8843744398,77621.86162387126,-0.24565367261492216,-0.3594135957332144,0.019743377593311524,0.7,0.25,0.05,1211949.78598194,172378.13837612874,Mid-Career
17,2017,380337.3781074565,77621.86162387126,-0.21930009683468196,-0.33124476213951193,0.04628494665190548,0.7,0.25,0.05,1289571.6476058112,172378.13837612874,Mid-Career
18,2018,470794.59030696977,77621.86162387126,0.03374727627221447,0.03898199521402933,0.021839518489575778,0.7,0.25,0.05,1367193.5092296824,172378.13837612874,Mid-Career
19,2019,482849.44609247637,77621.86162387126,-0.139268817416983,-0.2045818555861522,0.011753925973294166,0.7,0.25,0.05,1444815.3708535535,172378.13837612874,Mid-Career
20,2020,548641.3212471659,77621.86162387126,-0.024500362514480442,-0.06118372337012602,0.06931297537843109,0.7,0.25,0.05,1522437.2324774247,172378.13837612874,Mid-Career
21,2021,460378.51566384506,77621.86162387126,-0.3023554019411166,-0.4460378863409771,0.035484473990269286,0.7,0.25,0.05,1600059.0941012958,172378.13837612874,Mid-Career
22,2022,478066.642927609,77621.86162387126,-0.13018360397136594,-0.20217320713543654,0.04135056409375848,0.7,0.25,0.05,1677680.955725167,172378.13837612874,Mid-Career
23,2023,493818.388844053,77621.86162387126,-0.12941734509762873,-0.1904194345236592,0.011505036275730865,0.7,0.25,0.05,1755302.817349038,172378.13837612874,Mid-Career
24,2024,525673.6721253805,77621.86162387126,-0.09267896736222334,-0.14422436248513917,0.029112345509496346,0.7,0.25,0.05,1832924.6789729092,172378.13837612874,Mid-Career
