year,age,lifecycle_stage,risk_aversion,dynamic_risk_band,equity,bonds,cash,total_income,net_cashflow
0,30,young_family,0.2,3,0.7,0.25000000000000006,0.05,296800.00000000006,-118078.13837612869
1,31,young_family,0.21000000000000002,3,0.69,0.26000000000000006,0.05,295210.00000000006,130331.86162387131
2,32,young_family,0.22,3,0.68,0.26999999999999996,0.05,293620.0,128741.86162387126
3,33,young_family,0.23,3,0.67,0.27999999999999997,0.05,292030.0,127151.86162387126
4,34,young_family,0.24,3,0.66,0.29,0.05,290440.0,125561.86162387126
5,35,mid_career,0.25,3,0.65,0.3,0.05,288850.0,-24528.138376128743
6,36,mid_career,0.27,2,0.64,0.31,0.05,287260.0,-26118.138376128743
7,37,mid_career,0.29,2,0.63,0.32,0.05,285670.0,-27708.138376128743
8,38,mid_career,0.31,2,0.62,0.33,0.05,284080.0,-29298.138376128743
9,39,mid_career,0.32999999999999996,2,0.61,0.34,0.05,282490.0,-30888.138376128743
10,40,mid_career,0.35,2,0.6,0.35000000000000003,0.05,280900.0,116021.86162387126
11,41,mid_career,0.37,2,0.59,0.36000000000000004,0.05,279310.0,114431.86162387126
12,42,mid_career,0.39,2,0.58,0.37000000000000005,0.05,277720.0,112841.86162387126
13,43,mid_career,0.41,2,0.57,0.38000000000000006,0.05,276130.0,111251.86162387126
14,44,mid_career,0.43,2,0.56,0.38999999999999996,0.05,274540.0,109661.86162387126
15,45,mid_career,0.45,2,0.55,0.39999999999999997,0.05,272950.0,108071.86162387126
16,46,mid_career,0.47000000000000003,2,0.54,0.41,0.05,271360.0,106481.86162387126
17,47,mid_career,0.49000000000000005,2,0.53,0.42,0.05,269770.0,104891.86162387126
18,48,mid_career,0.51,2,0.52,0.43,0.05,268180.0,103301.86162387126
19,49,mid_career,0.53,2,0.51,0.44,0.05,266590.0,101711.86162387126
20,50,pre_retirement,0.55,1,0.5,0.45,0.05,265000.0,100121.86162387126
21,51,pre_retirement,0.5700000000000001,1,0.49,0.46,0.05,265000.0,100121.86162387126
22,52,pre_retirement,0.5900000000000001,1,0.48,0.47000000000000003,0.05,265000.0,100121.86162387126
23,53,pre_retirement,0.61,1,0.47,0.48000000000000004,0.05,265000.0,100121.86162387126
24,54,pre_retirement,0.63,1,0.46,0.49000000000000005,0.05,265000.0,100121.86162387126
25,55,pre_retirement,0.65,1,0.45,0.5,0.05,265000.0,226000.0
26,56,pre_retirement,0.67,1,0.44,0.51,0.05,265000.0,225500.0
27,57,pre_retirement,0.6900000000000001,1,0.43,0.52,0.05,265000.0,225000.0
28,58,pre_retirement,0.71,1,0.42,0.53,0.05,265000.0,224500.0
29,59,pre_retirement,0.73,1,0.41,0.54,0.05,265000.0,224000.0
30,60,pre_retirement,0.75,1,0.4,0.5499999999999999,0.05,256000.0,214500.0
31,61,pre_retirement,0.77,1,0.39,0.5599999999999999,0.05,250174.4,208174.4
32,62,pre_retirement,0.79,1,0.38,0.57,0.05,244377.6,201877.6
33,63,pre_retirement,0.8099999999999999,1,0.37,0.58,0.05,238609.6,195609.6
34,64,pre_retirement,0.83,1,0.36,0.59,0.05,232870.4,189370.4
35,65,retirement,0.85,1,0.35,0.6,0.05,227160.0,183160.0
36,66,retirement,0.86,1,0.34,0.6099999999999999,0.05,221478.4,176978.4
37,67,retirement,0.87,1,0.33,0.6199999999999999,0.05,215825.6,170825.6
38,68,retirement,0.88,1,0.32,0.6299999999999999,0.05,210201.6,164701.6
39,69,retirement,0.89,1,0.31,0.6399999999999999,0.05,204606.40000000002,158606.40000000002
