Year,Age,H_SAL,H_BONUS,HEL_SAL,Daycare,Tuition,Mortgage,Ppty,Healthcare,Charity,Lifecycle_Stage,Risk_Aversion,Equity_Allocation,Bonds_Allocation,Cash_Allocation,NetCF
0,30,168000.00000000003,16800.000000000004,78400.00000000001,0,0.0,-130878.13837612874,-34000,0,0,young_family,0.2,0.7,0.25000000000000006,0.05,98323.06162387131
1,31,167100.00000000003,16710.000000000004,77980.0,0,0.0,-130878.13837612874,-34000,0,0,young_family,0.21000000000000002,0.69,0.26000000000000006,0.05,96913.07162387129
2,32,166200.0,16620.0,77560.0,0,0.0,-130878.13837612874,-34000,0,0,young_family,0.22,0.68,0.26999999999999996,0.05,95503.08162387126
3,33,165300.0,16530.0,77140.0,0,0.0,-130878.13837612874,-34000,0,0,young_family,0.23,0.67,0.27999999999999997,0.05,94093.09162387125
4,34,164400.0,16440.0,76720.0,0,0.0,-130878.13837612874,-34000,0,0,young_family,0.24,0.66,0.29,0.05,92683.10162387126
5,35,163500.0,16350.0,76300.0,0,-143000.0,-130878.13837612874,-34000,0,0,mid_career,0.25,0.65,0.3,0.05,-51726.888376128736
6,36,162600.0,16260.0,75880.0,0,-143000.0,-130878.13837612874,-34000,0,0,mid_career,0.27,0.64,0.31,0.05,-53136.86837612875
7,37,161700.0,16170.0,75460.0,0,-143000.0,-130878.13837612874,-34000,0,0,mid_career,0.29,0.63,0.32,0.05,-54546.84837612874
8,38,160800.0,16080.0,75040.0,0,-143000.0,-130878.13837612874,-34000,0,0,mid_career,0.31,0.62,0.33,0.05,-55956.82837612874
9,39,159900.0,15990.0,74620.0,0,-143000.0,-130878.13837612874,-34000,0,0,mid_career,0.32999999999999996,0.61,0.34,0.05,-57366.80837612874
10,40,159000.0,15900.0,74200.0,0,0.0,-130878.13837612874,-34000,0,-250000,mid_career,0.35,0.6,0.35000000000000003,0.05,-165776.78837612874
11,41,158100.0,15810.0,73780.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.37,0.59,0.36000000000000004,0.05,82813.23162387125
12,42,157200.0,15720.0,73360.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.39,0.58,0.37000000000000005,0.05,81403.25162387126
13,43,156300.0,15630.0,72940.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.41,0.57,0.38000000000000006,0.05,79993.27162387127
14,44,155400.0,15540.0,72520.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.43,0.56,0.38999999999999996,0.05,78583.29162387125
15,45,154500.0,15450.0,72100.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.45,0.55,0.39999999999999997,0.05,77173.31162387125
16,46,153600.0,15360.0,71680.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.47000000000000003,0.54,0.41,0.05,75763.33162387126
17,47,152700.0,15270.0,71260.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.49000000000000005,0.53,0.42,0.05,74353.35162387126
18,48,151800.0,15180.0,70840.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.51,0.52,0.43,0.05,72943.37162387125
19,49,150900.0,15090.0,70420.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.53,0.51,0.44,0.05,71533.39162387126
