Year,Age,H_SAL,H_BONUS,HEL_SAL,Daycare,Tuition,Mortgage,Ppty,Healthcare,Charity,Lifecycle_Stage,Risk_Aversion,Equity_Allocation,Bonds_Allocation,Cash_Allocation,NetCF
0,30,168000.00000000003,33600.00000000001,78400.00000000001,0,0.0,-130878.13837612874,-34000,0,-250000,young_family,0.2,0.7,0.25000000000000006,0.05,-134876.93837612867
1,31,167100.00000000003,33420.00000000001,77980.0,0,0.0,-130878.13837612874,-34000,0,0,young_family,0.21000000000000002,0.69,0.26000000000000006,0.05,113623.07162387126
2,32,166200.0,33240.0,77560.0,0,0.0,-130878.13837612874,-34000,0,0,young_family,0.22,0.68,0.26999999999999996,0.05,112123.08162387126
3,33,165300.0,33060.0,77140.0,0,0.0,-130878.13837612874,-34000,0,0,young_family,0.23,0.67,0.27999999999999997,0.05,110623.09162387125
4,34,164400.0,32880.0,76720.0,0,0.0,-130878.13837612874,-34000,0,0,young_family,0.24,0.66,0.29,0.05,109123.10162387126
5,35,163500.0,32700.0,76300.0,0,-143000.0,-130878.13837612874,-34000,0,0,mid_career,0.25,0.65,0.3,0.05,-35376.888376128736
6,36,162600.0,32520.0,75880.0,0,-143000.0,-130878.13837612874,-34000,0,0,mid_career,0.27,0.64,0.31,0.05,-36876.86837612875
7,37,161700.0,32340.0,75460.0,0,-143000.0,-130878.13837612874,-34000,0,0,mid_career,0.29,0.63,0.32,0.05,-38376.84837612874
8,38,160800.0,32160.0,75040.0,0,-143000.0,-130878.13837612874,-34000,0,0,mid_career,0.31,0.62,0.33,0.05,-39876.82837612874
9,39,159900.0,31980.0,74620.0,0,-143000.0,-130878.13837612874,-34000,0,0,mid_career,0.32999999999999996,0.61,0.34,0.05,-41376.80837612874
10,40,159000.0,31800.0,74200.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.35,0.6,0.35000000000000003,0.05,100123.21162387128
11,41,158100.0,31620.0,73780.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.37,0.59,0.36000000000000004,0.05,98623.23162387125
12,42,157200.0,31440.0,73360.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.39,0.58,0.37000000000000005,0.05,97123.25162387126
13,43,156300.0,31260.0,72940.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.41,0.57,0.38000000000000006,0.05,95623.27162387127
