Year,Age,H_SAL,H_BONUS,HEL_SAL,Daycare,Tuition,Mortgage,Ppty,Healthcare,Charity,Lifecycle_Stage,Risk_Aversion,Equity_Allocation,Bonds_Allocation,Cash_Allocation,NetCF
0,30,168000.00000000003,0.0,156800.00000000003,-25000,0.0,-130878.13837612874,-34000,0,-25000.0,young_family,0.2,0.7,0.25000000000000006,0.05,109923.06162387131
1,31,167100.00000000003,0.0,155960.0,-25000,0.0,-130878.13837612874,-34000,0,-25000.0,young_family,0.21000000000000002,0.69,0.26000000000000006,0.05,108183.07162387126
2,32,166200.0,0.0,155120.0,-25000,0.0,-130878.13837612874,-34000,0,-25000.0,young_family,0.22,0.68,0.26999999999999996,0.05,106443.08162387126
3,33,165300.0,0.0,154280.0,-25000,0.0,-130878.13837612874,-34000,0,-25000.0,young_family,0.23,0.67,0.27999999999999997,0.05,104703.09162387125
4,34,164400.0,0.0,153440.0,-25000,0.0,-130878.13837612874,-34000,0,-25000.0,young_family,0.24,0.66,0.29,0.05,102963.10162387126
5,35,163500.0,0.0,152600.0,0,-143000.0,-130878.13837612874,-34000,0,-25000.0,mid_career,0.25,0.65,0.3,0.05,-16776.888376128743
6,36,162600.0,0.0,151760.0,0,-143000.0,-130878.13837612874,-34000,0,-25000.0,mid_career,0.27,0.64,0.31,0.05,-18516.868376128743
7,37,161700.0,0.0,150920.0,0,-143000.0,-130878.13837612874,-34000,0,-25000.0,mid_career,0.29,0.63,0.32,0.05,-20256.848376128743
8,38,160800.0,0.0,150080.0,0,-143000.0,-130878.13837612874,-34000,0,-25000.0,mid_career,0.31,0.62,0.33,0.05,-21996.828376128742
9,39,159900.0,0.0,149240.0,0,-143000.0,-130878.13837612874,-34000,0,-25000.0,mid_career,0.32999999999999996,0.61,0.34,0.05,-23736.80837612874
10,40,159000.0,0.0,148400.0,0,0.0,-130878.13837612874,-34000,0,0.0,mid_career,0.35,0.6,0.35000000000000003,0.05,142523.21162387126
11,41,158100.0,0.0,147560.0,0,0.0,-130878.13837612874,-34000,0,0.0,mid_career,0.37,0.59,0.36000000000000004,0.05,140783.23162387122
12,42,157200.0,0.0,146720.0,0,0.0,-130878.13837612874,-34000,0,0.0,mid_career,0.39,0.58,0.37000000000000005,0.05,139043.25162387124
13,43,156300.0,0.0,145880.0,0,0.0,-130878.13837612874,-34000,0,0.0,mid_career,0.41,0.57,0.38000000000000006,0.05,137303.27162387126
14,44,155400.0,0.0,145040.0,0,0.0,-130878.13837612874,-34000,0,0.0,mid_career,0.43,0.56,0.38999999999999996,0.05,135563.29162387125
15,45,154500.0,0.0,144200.0,0,0.0,-130878.13837612874,-34000,0,0.0,mid_career,0.45,0.55,0.39999999999999997,0.05,133823.31162387124
16,46,153600.0,0.0,143360.0,0,0.0,-130878.13837612874,-34000,0,0.0,mid_career,0.47000000000000003,0.54,0.41,0.05,132083.33162387126
17,47,152700.0,0.0,142520.0,0,0.0,-130878.13837612874,-34000,0,0.0,mid_career,0.49000000000000005,0.53,0.42,0.05,130343.35162387126
18,48,151800.0,0.0,141680.0,0,0.0,-130878.13837612874,-34000,0,0.0,mid_career,0.51,0.52,0.43,0.05,128603.37162387125
19,49,150900.0,0.0,140840.0,0,0.0,-130878.13837612874,-34000,0,0.0,mid_career,0.53,0.51,0.44,0.05,126863.39162387126
20,50,150000.0,0.0,140000.0,0,0.0,-130878.13837612874,-34000,0,0.0,pre_retirement,0.55,0.5,0.45,0.05,125123.41162387126
21,51,150000.0,0.0,140000.0,0,0.0,-130878.13837612874,-34000,0,0.0,pre_retirement,0.5700000000000001,0.49,0.46,0.05,125123.43162387128
22,52,150000.0,0.0,140000.0,0,0.0,-130878.13837612874,-34000,0,0.0,pre_retirement,0.5900000000000001,0.48,0.47000000000000003,0.05,125123.45162387125
23,53,150000.0,0.0,140000.0,0,0.0,-130878.13837612874,-34000,0,0.0,pre_retirement,0.61,0.47,0.48000000000000004,0.05,125123.47162387126
24,54,150000.0,0.0,140000.0,0,0.0,-130878.13837612874,-34000,0,0.0,pre_retirement,0.63,0.46,0.49000000000000005,0.05,125123.49162387128
25,55,150000.0,0.0,140000.0,0,0.0,0.0,-34000,-5000,0.0,pre_retirement,0.65,0.45,0.5,0.05,251001.65
26,56,150000.0,0.0,140000.0,0,0.0,0.0,-34000,-5500,0.0,pre_retirement,0.67,0.44,0.51,0.05,250501.67
27,57,150000.0,0.0,140000.0,0,0.0,0.0,-34000,-6000,0.0,pre_retirement,0.6900000000000001,0.43,0.52,0.05,250001.68999999997
28,58,150000.0,0.0,140000.0,0,0.0,0.0,-34000,-6500,0.0,pre_retirement,0.71,0.42,0.53,0.05,249501.71
29,59,150000.0,0.0,140000.0,0,0.0,0.0,-34000,-7000,0.0,pre_retirement,0.73,0.41,0.54,0.05,249001.73
30,60,150000.0,0.0,140000.0,0,0.0,0.0,-34000,-7500,0.0,pre_retirement,0.75,0.4,0.5499999999999999,0.05,248501.74999999997
31,61,147000.0,0.0,137200.0,0,0.0,0.0,-34000,-8000,0.0,pre_retirement,0.77,0.39,0.5599999999999999,0.05,242201.77
32,62,144000.0,0.0,134400.0,0,0.0,0.0,-34000,-8500,0.0,pre_retirement,0.79,0.38,0.57,0.05,235901.79
33,63,141000.0,0.0,131600.0,0,0.0,0.0,-34000,-9000,0.0,pre_retirement,0.8099999999999999,0.37,0.58,0.05,229601.80999999997
34,64,138000.0,0.0,128800.0,0,0.0,0.0,-34000,-9500,0.0,pre_retirement,0.83,0.36,0.59,0.05,223301.82999999996
35,65,135000.0,0.0,126000.0,0,0.0,0.0,-34000,-10000,0.0,retirement,0.85,0.35,0.6,0.05,217001.85
36,66,132000.0,0.0,123200.0,0,0.0,0.0,-34000,-10500,0.0,retirement,0.86,0.34,0.6099999999999999,0.05,210701.85999999996
37,67,129000.0,0.0,120400.0,0,0.0,0.0,-34000,-11000,0.0,retirement,0.87,0.33,0.6199999999999999,0.05,204401.86999999997
38,68,126000.0,0.0,117600.0,0,0.0,0.0,-34000,-11500,0.0,retirement,0.88,0.32,0.6299999999999999,0.05,198101.88
39,69,123000.00000000001,0.0,114800.00000000001,0,0.0,0.0,-34000,-12000,0.0,retirement,0.89,0.31,0.6399999999999999,0.05,191801.89000000004
