Year,Age,H_SAL,H_BONUS,HEL_SAL,Daycare,Tuition,Mortgage,Ppty,Healthcare,Charity,Lifecycle_Stage,Risk_Aversion,Equity_Allocation,Bonds_Allocation,Cash_Allocation,NetCF
0,30,168000.00000000003,16800.000000000004,156800.00000000003,-25000,0.0,-130878.13837612874,-34000,0,-25000.0,young_family,0.2,0.7,0.25000000000000006,0.05,126723.06162387131
1,31,167100.00000000003,16710.000000000004,155960.0,-25000,0.0,-130878.13837612874,-34000,0,-25000.0,young_family,0.21000000000000002,0.69,0.26000000000000006,0.05,124893.07162387126
2,32,166200.0,16620.0,155120.0,-25000,0.0,-130878.13837612874,-34000,0,-25000.0,young_family,0.22,0.68,0.26999999999999996,0.05,123063.08162387126
3,33,165300.0,16530.0,154280.0,-25000,0.0,-130878.13837612874,-34000,0,-25000.0,young_family,0.23,0.67,0.27999999999999997,0.05,121233.09162387125
4,34,164400.0,16440.0,153440.0,-25000,0.0,-130878.13837612874,-34000,0,-25000.0,young_family,0.24,0.66,0.29,0.05,119403.10162387126
5,35,163500.0,16350.0,152600.0,0,-148500.0,-130878.13837612874,-34000,0,-25000.0,mid_career,0.25,0.65,0.3,0.05,-5926.888376128743
6,36,162600.0,16260.0,151760.0,0,-148500.0,-130878.13837612874,-34000,0,-25000.0,mid_career,0.27,0.64,0.31,0.05,-7756.868376128742
7,37,161700.0,16170.0,150920.0,0,-148500.0,-130878.13837612874,-34000,0,-25000.0,mid_career,0.29,0.63,0.32,0.05,-9586.848376128744
8,38,160800.0,16080.0,150080.0,0,-148500.0,-130878.13837612874,-34000,0,-25000.0,mid_career,0.31,0.62,0.33,0.05,-11416.828376128744
9,39,159900.0,15990.0,149240.0,0,-148500.0,-130878.13837612874,-34000,0,-25000.0,mid_career,0.32999999999999996,0.61,0.34,0.05,-13246.808376128743
10,40,159000.0,15900.0,148400.0,0,0.0,-130878.13837612874,-34000,0,0.0,mid_career,0.35,0.6,0.35000000000000003,0.05,158423.21162387126
11,41,158100.0,15810.0,147560.0,0,0.0,-130878.13837612874,-34000,0,0.0,mid_career,0.37,0.59,0.36000000000000004,0.05,156593.23162387122
12,42,157200.0,15720.0,146720.0,0,0.0,-130878.13837612874,-34000,0,0.0,mid_career,0.39,0.58,0.37000000000000005,0.05,154763.25162387124
13,43,156300.0,15630.0,145880.0,0,0.0,-130878.13837612874,-34000,0,0.0,mid_career,0.41,0.57,0.38000000000000006,0.05,152933.27162387126
14,44,155400.0,15540.0,145040.0,0,0.0,-130878.13837612874,-34000,0,0.0,mid_career,0.43,0.56,0.38999999999999996,0.05,151103.29162387125
15,45,154500.0,15450.0,144200.0,0,0.0,-130878.13837612874,-34000,0,0.0,mid_career,0.45,0.55,0.39999999999999997,0.05,149273.31162387124
16,46,153600.0,15360.0,143360.0,0,0.0,-130878.13837612874,-34000,0,0.0,mid_career,0.47000000000000003,0.54,0.41,0.05,147443.33162387126
17,47,152700.0,15270.0,142520.0,0,0.0,-130878.13837612874,-34000,0,0.0,mid_career,0.49000000000000005,0.53,0.42,0.05,145613.35162387125
18,48,151800.0,15180.0,141680.0,0,0.0,-130878.13837612874,-34000,0,0.0,mid_career,0.51,0.52,0.43,0.05,143783.37162387124
19,49,150900.0,15090.0,140840.0,0,0.0,-130878.13837612874,-34000,0,0.0,mid_career,0.53,0.51,0.44,0.05,141953.39162387126
20,50,150000.0,15000.0,140000.0,0,0.0,-130878.13837612874,-34000,0,0.0,pre_retirement,0.55,0.5,0.45,0.05,140123.41162387124
21,51,150000.0,15000.0,140000.0,0,0.0,-130878.13837612874,-34000,0,0.0,pre_retirement,0.5700000000000001,0.49,0.46,0.05,140123.43162387123
22,52,150000.0,15000.0,140000.0,0,0.0,-130878.13837612874,-34000,0,0.0,pre_retirement,0.5900000000000001,0.48,0.47000000000000003,0.05,140123.45162387125
23,53,150000.0,15000.0,140000.0,0,0.0,-130878.13837612874,-34000,0,0.0,pre_retirement,0.61,0.47,0.48000000000000004,0.05,140123.47162387124
24,54,150000.0,15000.0,140000.0,0,0.0,-130878.13837612874,-34000,0,0.0,pre_retirement,0.63,0.46,0.49000000000000005,0.05,140123.49162387123
25,55,150000.0,15000.0,140000.0,0,0.0,0.0,-34000,-5000,0.0,pre_retirement,0.65,0.45,0.5,0.05,266001.65
26,56,150000.0,15000.0,140000.0,0,0.0,0.0,-34000,-5500,0.0,pre_retirement,0.67,0.44,0.51,0.05,265501.67
27,57,150000.0,15000.0,140000.0,0,0.0,0.0,-34000,-6000,0.0,pre_retirement,0.6900000000000001,0.43,0.52,0.05,265001.69
28,58,150000.0,15000.0,140000.0,0,0.0,0.0,-34000,-6500,0.0,pre_retirement,0.71,0.42,0.53,0.05,264501.71
29,59,150000.0,15000.0,140000.0,0,0.0,0.0,-34000,-7000,0.0,pre_retirement,0.73,0.41,0.54,0.05,264001.7299999999
30,60,150000.0,12000.0,140000.0,0,0.0,0.0,-34000,-7500,0.0,pre_retirement,0.75,0.4,0.5499999999999999,0.05,260501.74999999997
31,61,147000.0,11524.800000000001,137200.0,0,0.0,0.0,-34000,-8000,0.0,pre_retirement,0.77,0.39,0.5599999999999999,0.05,253726.56999999998
32,62,144000.0,11059.2,134400.0,0,0.0,0.0,-34000,-8500,0.0,pre_retirement,0.79,0.38,0.57,0.05,246960.99000000002
33,63,141000.0,10603.2,131600.0,0,0.0,0.0,-34000,-9000,0.0,pre_retirement,0.8099999999999999,0.37,0.58,0.05,240205.00999999998
34,64,138000.0,10156.800000000001,128800.0,0,0.0,0.0,-34000,-9500,0.0,pre_retirement,0.83,0.36,0.59,0.05,233458.62999999995
35,65,135000.0,9720.000000000002,126000.0,0,0.0,0.0,-34000,-10000,0.0,retirement,0.85,0.35,0.6,0.05,226721.85
36,66,132000.0,9292.800000000001,123200.0,0,0.0,0.0,-34000,-10500,0.0,retirement,0.86,0.34,0.6099999999999999,0.05,219994.65999999995
