Year,Age,H_SAL,H_BONUS,HEL_SAL,Daycare,Tuition,Mortgage,Ppty,Healthcare,Charity,Lifecycle_Stage,Risk_Aversion,Equity_Allocation,Bonds_Allocation,Cash_Allocation,NetCF
0,30,168000.00000000003,33600.00000000001,156800.00000000003,-25000,0.0,-130878.13837612874,-34000,0,-250000,young_family,0.2,0.7,0.25000000000000006,0.05,-81476.93837612869
1,31,167100.00000000003,33420.00000000001,155960.0,-25000,0.0,-130878.13837612874,-34000,0,0,young_family,0.21000000000000002,0.69,0.26000000000000006,0.05,166603.07162387125
2,32,166200.0,33240.0,155120.0,-25000,0.0,-130878.13837612874,-34000,0,0,young_family,0.22,0.68,0.26999999999999996,0.05,164683.08162387123
3,33,165300.0,33060.0,154280.0,-25000,0.0,-130878.13837612874,-34000,0,0,young_family,0.23,0.67,0.27999999999999997,0.05,162763.09162387127
4,34,164400.0,32880.0,153440.0,-25000,0.0,-130878.13837612874,-34000,0,0,young_family,0.24,0.66,0.29,0.05,160843.10162387125
5,35,163500.0,32700.0,152600.0,0,-148500.0,-130878.13837612874,-34000,0,0,mid_career,0.25,0.65,0.3,0.05,35423.111623871264
6,36,162600.0,32520.0,151760.0,0,-148500.0,-130878.13837612874,-34000,0,0,mid_career,0.27,0.64,0.31,0.05,33503.13162387125
7,37,161700.0,32340.0,150920.0,0,-148500.0,-130878.13837612874,-34000,0,0,mid_career,0.29,0.63,0.32,0.05,31583.151623871257
8,38,160800.0,32160.0,150080.0,0,-148500.0,-130878.13837612874,-34000,0,0,mid_career,0.31,0.62,0.33,0.05,29663.171623871258
9,39,159900.0,31980.0,149240.0,0,-148500.0,-130878.13837612874,-34000,0,0,mid_career,0.32999999999999996,0.61,0.34,0.05,27743.19162387126
10,40,159000.0,31800.0,148400.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.35,0.6,0.35000000000000003,0.05,174323.21162387126
11,41,158100.0,31620.0,147560.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.37,0.59,0.36000000000000004,0.05,172403.23162387122
12,42,157200.0,31440.0,146720.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.39,0.58,0.37000000000000005,0.05,170483.25162387124
13,43,156300.0,31260.0,145880.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.41,0.57,0.38000000000000006,0.05,168563.27162387126
14,44,155400.0,31080.0,145040.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.43,0.56,0.38999999999999996,0.05,166643.29162387125
15,45,154500.0,30900.0,144200.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.45,0.55,0.39999999999999997,0.05,164723.31162387124
16,46,153600.0,30720.0,143360.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.47000000000000003,0.54,0.41,0.05,162803.33162387126
17,47,152700.0,30540.0,142520.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.49000000000000005,0.53,0.42,0.05,160883.35162387125
18,48,151800.0,30360.0,141680.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.51,0.52,0.43,0.05,158963.37162387124
19,49,150900.0,30180.0,140840.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.53,0.51,0.44,0.05,157043.39162387126
20,50,150000.0,30000.0,140000.0,0,0.0,-130878.13837612874,-34000,0,0,pre_retirement,0.55,0.5,0.45,0.05,155123.41162387124
21,51,150000.0,30000.0,140000.0,0,0.0,-130878.13837612874,-34000,0,0,pre_retirement,0.5700000000000001,0.49,0.46,0.05,155123.43162387123
22,52,150000.0,30000.0,140000.0,0,0.0,-130878.13837612874,-34000,0,0,pre_retirement,0.5900000000000001,0.48,0.47000000000000003,0.05,155123.45162387125
23,53,150000.0,30000.0,140000.0,0,0.0,-130878.13837612874,-34000,0,0,pre_retirement,0.61,0.47,0.48000000000000004,0.05,155123.47162387124
24,54,150000.0,30000.0,140000.0,0,0.0,-130878.13837612874,-34000,0,0,pre_retirement,0.63,0.46,0.49000000000000005,0.05,155123.49162387123
25,55,150000.0,30000.0,140000.0,0,0.0,0.0,-34000,-5000,0,pre_retirement,0.65,0.45,0.5,0.05,281001.65
26,56,150000.0,30000.0,140000.0,0,0.0,0.0,-34000,-5500,0,pre_retirement,0.67,0.44,0.51,0.05,280501.67
27,57,150000.0,30000.0,140000.0,0,0.0,0.0,-34000,-6000,0,pre_retirement,0.6900000000000001,0.43,0.52,0.05,280001.69
28,58,150000.0,30000.0,140000.0,0,0.0,0.0,-34000,-6500,0,pre_retirement,0.71,0.42,0.53,0.05,279501.71
29,59,150000.0,30000.0,140000.0,0,0.0,0.0,-34000,-7000,0,pre_retirement,0.73,0.41,0.54,0.05,279001.7299999999
30,60,150000.0,24000.0,140000.0,0,0.0,0.0,-34000,-7500,0,pre_retirement,0.75,0.4,0.5499999999999999,0.05,272501.75
31,61,147000.0,23049.600000000002,137200.0,0,0.0,0.0,-34000,-8000,0,pre_retirement,0.77,0.39,0.5599999999999999,0.05,265251.37
32,62,144000.0,22118.4,134400.0,0,0.0,0.0,-34000,-8500,0,pre_retirement,0.79,0.38,0.57,0.05,258020.19000000003
33,63,141000.0,21206.4,131600.0,0,0.0,0.0,-34000,-9000,0,pre_retirement,0.8099999999999999,0.37,0.58,0.05,250808.21
34,64,138000.0,20313.600000000002,128800.0,0,0.0,0.0,-34000,-9500,0,pre_retirement,0.83,0.36,0.59,0.05,243615.42999999993
35,65,135000.0,19440.000000000004,126000.0,0,0.0,0.0,-34000,-10000,0,retirement,0.85,0.35,0.6,0.05,236441.85
36,66,132000.0,18585.600000000002,123200.0,0,0.0,0.0,-34000,-10500,0,retirement,0.86,0.34,0.6099999999999999,0.05,229287.45999999993
37,67,129000.0,17750.4,120400.0,0,0.0,0.0,-34000,-11000,0,retirement,0.87,0.33,0.6199999999999999,0.05,222152.27
38,68,126000.0,16934.4,117600.0,0,0.0,0.0,-34000,-11500,0,retirement,0.88,0.32,0.6299999999999999,0.05,215036.28
39,69,123000.00000000001,16137.600000000006,114800.00000000001,0,0.0,0.0,-34000,-12000,0,retirement,0.89,0.31,0.6399999999999999,0.05,207939.49000000005
