Year,Age,H_SAL,H_BONUS,HEL_SAL,Daycare,Tuition,Mortgage,Ppty,Healthcare,Charity,Lifecycle_Stage,Risk_Aversion,Equity_Allocation,Bonds_Allocation,Cash_Allocation,NetCF
0,30,168000.00000000003,50400.00000000001,156800.00000000003,-25000,0.0,-130878.13837612874,-34000,0,-250000,young_family,0.2,0.7,0.25000000000000006,0.05,-64676.93837612869
1,31,167100.00000000003,50130.00000000001,155960.0,-25000,0.0,-130878.13837612874,-34000,0,0,young_family,0.21000000000000002,0.69,0.26000000000000006,0.05,183313.07162387125
2,32,166200.0,49860.0,155120.0,-25000,0.0,-130878.13837612874,-34000,0,0,young_family,0.22,0.68,0.26999999999999996,0.05,181303.08162387123
3,33,165300.0,49590.0,154280.0,-25000,0.0,-130878.13837612874,-34000,0,0,young_family,0.23,0.67,0.27999999999999997,0.05,179293.09162387127
4,34,164400.0,49320.0,153440.0,-25000,0.0,-130878.13837612874,-34000,0,0,young_family,0.24,0.66,0.29,0.05,177283.10162387125
5,35,163500.0,49050.0,152600.0,0,-143000.0,-130878.13837612874,-34000,0,0,mid_career,0.25,0.65,0.3,0.05,57273.111623871264
6,36,162600.0,48780.0,151760.0,0,-143000.0,-130878.13837612874,-34000,0,0,mid_career,0.27,0.64,0.31,0.05,55263.13162387125
7,37,161700.0,48510.0,150920.0,0,-143000.0,-130878.13837612874,-34000,0,0,mid_career,0.29,0.63,0.32,0.05,53253.15162387126
8,38,160800.0,48240.0,150080.0,0,-143000.0,-130878.13837612874,-34000,0,0,mid_career,0.31,0.62,0.33,0.05,51243.17162387126
9,39,159900.0,47970.0,149240.0,0,-143000.0,-130878.13837612874,-34000,0,0,mid_career,0.32999999999999996,0.61,0.34,0.05,49233.19162387126
10,40,159000.0,47700.0,148400.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.35,0.6,0.35000000000000003,0.05,190223.21162387126
11,41,158100.0,47430.0,147560.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.37,0.59,0.36000000000000004,0.05,188213.23162387122
12,42,157200.0,47160.0,146720.0,0,0.0,-130878.13837612874,-34000,0,0,mid_career,0.39,0.58,0.37000000000000005,0.05,186203.25162387124
