Year,H_SAL,H_BONUS,HEL_SAL,Daycare,Tuition,Mortgage,Ppty,Charity,Healthcare,NetCF,Age,Lifecycle_Stage,Equity_Allocation,Bond_Allocation,Cash_Allocation,Risk_Aversion_Score
0,168000.00000000003,15000.0,156800.00000000003,-25000,0.0,-130878.13837612874,-34000,-250000,,-100078.13837612869,30,young_family,0.7,0.25000000000000006,0.05,0.2
1,167100.00000000003,15000.0,155960.0,-25000,0.0,-130878.13837612874,-34000,0,,148182.86162387126,31,young_family,0.69,0.26000000000000006,0.05,0.21000000000000002
2,166200.0,15000.0,155120.0,-25000,0.0,-130878.13837612874,-34000,0,,146443.86162387126,32,young_family,0.68,0.26999999999999996,0.05,0.22
3,165300.0,15000.0,154280.0,-25000,0.0,-130878.13837612874,-34000,0,,144704.86162387126,33,young_family,0.67,0.27999999999999997,0.05,0.23
4,164400.0,15000.0,153440.0,-25000,0.0,-130878.13837612874,-34000,0,,142965.86162387126,34,young_family,0.66,0.29,0.05,0.24
5,163500.0,15000.0,152600.0,0,-143000.0,-130878.13837612874,-34000,0,,23226.861623871257,35,mid_career,0.65,0.3,0.05,0.25
6,162600.0,15000.0,151760.0,0,-143000.0,-130878.13837612874,-34000,0,,21487.861623871257,36,mid_career,0.64,0.31,0.05,0.27
7,161700.0,15000.0,150920.0,0,-143000.0,-130878.13837612874,-34000,0,,19748.861623871257,37,mid_career,0.63,0.32,0.05,0.29
8,160800.0,15000.0,150080.0,0,-143000.0,-130878.13837612874,-34000,0,,18009.861623871257,38,mid_career,0.62,0.33,0.05,0.31
9,159900.0,15000.0,149240.0,0,-143000.0,-130878.13837612874,-34000,0,,16270.861623871257,39,mid_career,0.61,0.34,0.05,0.32999999999999996
10,159000.0,15000.0,148400.0,0,0.0,-130878.13837612874,-34000,0,,157531.86162387126,40,mid_career,0.6,0.35000000000000003,0.05,0.35
11,158100.0,15000.0,147560.0,0,0.0,-130878.13837612874,-34000,0,,155792.86162387126,41,mid_career,0.59,0.36000000000000004,0.05,0.37
12,157200.0,15000.0,146720.0,0,0.0,-130878.13837612874,-34000,0,,154053.86162387126,42,mid_career,0.58,0.37000000000000005,0.05,0.39
13,156300.0,15000.0,145880.0,0,0.0,-130878.13837612874,-34000,0,,152314.86162387126,43,mid_career,0.57,0.38000000000000006,0.05,0.41
14,155400.0,15000.0,145040.0,0,0.0,-130878.13837612874,-34000,0,,150575.86162387126,44,mid_career,0.56,0.38999999999999996,0.05,0.43
15,154500.0,15000.0,144200.0,0,0.0,-130878.13837612874,-34000,0,,148836.86162387126,45,mid_career,0.55,0.39999999999999997,0.05,0.45
16,153600.0,15000.0,143360.0,0,0.0,-130878.13837612874,-34000,0,,147097.86162387126,46,mid_career,0.54,0.41,0.05,0.47000000000000003
17,152700.0,15000.0,142520.0,0,0.0,-130878.13837612874,-34000,0,,145358.86162387126,47,mid_career,0.53,0.42,0.05,0.49000000000000005
18,151800.0,15000.0,141680.0,0,0.0,-130878.13837612874,-34000,0,,143619.86162387126,48,mid_career,0.52,0.43,0.05,0.51
19,150900.0,15000.0,140840.0,0,0.0,-130878.13837612874,-34000,0,,141880.86162387126,49,mid_career,0.51,0.44,0.05,0.53
20,150000.0,15000.0,140000.0,0,0.0,-130878.13837612874,-34000,0,,140141.86162387126,50,pre_retirement,0.5,0.45,0.05,0.55
21,150000.0,15000.0,140000.0,0,0.0,-130878.13837612874,-34000,0,,140142.86162387126,51,pre_retirement,0.49,0.46,0.05,0.5700000000000001
22,150000.0,15000.0,140000.0,0,0.0,-130878.13837612874,-34000,0,,140143.86162387126,52,pre_retirement,0.48,0.47000000000000003,0.05,0.5900000000000001
23,150000.0,15000.0,140000.0,0,0.0,-130878.13837612874,-34000,0,,140144.86162387126,53,pre_retirement,0.47,0.48000000000000004,0.05,0.61
24,150000.0,15000.0,140000.0,0,0.0,-130878.13837612874,-34000,0,,140145.86162387126,54,pre_retirement,0.46,0.49000000000000005,0.05,0.63
25,150000.0,15000.0,140000.0,0,0.0,0.0,-34000,0,-5000.0,266025.0,55,pre_retirement,0.45,0.5,0.05,0.65
26,150000.0,15000.0,140000.0,0,0.0,0.0,-34000,0,-5500.0,265526.0,56,pre_retirement,0.44,0.509,0.051000000000000004,0.67
