Year,Age,Lifecycle_Stage,Risk_Aversion,Equity_Allocation,Bonds_Allocation,Cash_Allocation,cfg_id
0,30,young_family,0.2,0.7,0.25000000000000006,0.05,CFG_A
1,31,young_family,0.21000000000000002,0.69,0.26000000000000006,0.05,CFG_A
2,32,young_family,0.22,0.68,0.26999999999999996,0.05,CFG_A
3,33,young_family,0.23,0.67,0.27999999999999997,0.05,CFG_A
4,34,young_family,0.24,0.66,0.29,0.05,CFG_A
5,35,mid_career,0.25,0.65,0.3,0.05,CFG_A
6,36,mid_career,0.27,0.64,0.31,0.05,CFG_A
7,37,mid_career,0.29,0.63,0.32,0.05,CFG_A
8,38,mid_career,0.31,0.62,0.33,0.05,CFG_A
9,39,mid_career,0.32999999999999996,0.61,0.34,0.05,CFG_A
10,40,mid_career,0.35,0.6,0.35000000000000003,0.05,CFG_A
11,41,mid_career,0.37,0.59,0.36000000000000004,0.05,CFG_A
12,42,mid_career,0.39,0.58,0.37000000000000005,0.05,CFG_A
13,43,mid_career,0.41,0.57,0.38000000000000006,0.05,CFG_A
14,44,mid_career,0.43,0.56,0.38999999999999996,0.05,CFG_A
15,45,mid_career,0.45,0.55,0.39999999999999997,0.05,CFG_A
16,46,mid_career,0.47000000000000003,0.54,0.41,0.05,CFG_A
17,47,mid_career,0.49000000000000005,0.53,0.42,0.05,CFG_A
18,48,mid_career,0.51,0.52,0.43,0.05,CFG_A
19,49,mid_career,0.53,0.51,0.44,0.05,CFG_A
20,50,pre_retirement,0.55,0.5,0.45,0.05,CFG_A
21,51,pre_retirement,0.5700000000000001,0.49,0.46,0.05,CFG_A
22,52,pre_retirement,0.5900000000000001,0.48,0.47000000000000003,0.05,CFG_A
23,53,pre_retirement,0.61,0.47,0.48000000000000004,0.05,CFG_A
24,54,pre_retirement,0.63,0.46,0.49000000000000005,0.05,CFG_A
25,55,pre_retirement,0.65,0.45,0.5,0.05,CFG_A
26,56,pre_retirement,0.67,0.44,0.51,0.05,CFG_A
27,57,pre_retirement,0.6900000000000001,0.43,0.52,0.05,CFG_A
28,58,pre_retirement,0.71,0.42,0.53,0.05,CFG_A
29,59,pre_retirement,0.73,0.41,0.54,0.05,CFG_A
30,60,pre_retirement,0.75,0.4,0.5499999999999999,0.05,CFG_A
