date,description,amount,balance,category,transaction_type
2025-06-21,Freelance Payment,12696.913535120171,29316.74969379951,Income,credit
2025-06-22,Trader Joe's,-55.43217862902968,29261.317515170478,Groceries,debit
2025-06-23,Home Maintenance,-41.461427422664755,29219.856087747812,Housing,debit
2025-06-23,Doctor Office,-95.41797628145277,29124.43811146636,Healthcare,debit
2025-06-24,Target,-92.07366322428867,29032.36444824207,Shopping,debit
2025-06-25,Investment Income,12663.1284377024,16619.83615867934,Income,credit
2025-06-26,Hulu,47.466819649646816,29079.831267891717,Entertainment,credit
2025-06-27,IKEA,15.392224122083455,29095.2234920138,Housing,credit
2025-06-28,Old Navy,71.79412373171472,29167.017615745513,Shopping,credit
2025-06-28,Walmart,-48.36981049220016,29118.647805253313,Shopping,debit
2025-06-30,Pharmacy,34.33420857803348,29152.982013831348,Healthcare,credit
2025-07-03,Macy's,-67.4823670729285,29085.49964675842,Shopping,debit
2025-07-04,Home Insurance,-18.029886902318708,29067.469759856103,Housing,debit
2025-07-04,Adidas,-13.041947740186679,29054.427812115915,Shopping,debit
2025-07-06,Sprouts Farmers Market,-10.857613635523453,29043.570198480393,Groceries,debit
2025-07-06,Whole Foods Market,-59.5357374160802,28984.03446106431,Groceries,debit
2025-07-07,Lab Services,-35.918962609818756,28948.115498454492,Healthcare,debit
2025-07-07,Kroger,-86.5470493175224,28861.56844913697,Groceries,debit
2025-07-08,Property Tax,99.93241331517623,28961.500862452143,Housing,credit
2025-07-09,Mortgage Payment,81.94075263646711,29043.44161508861,Housing,credit
2025-07-10,Adidas,-73.5292340878259,28969.912381000784,Shopping,debit
2025-07-10,Nordstrom,-66.20658034583535,28903.70580065495,Shopping,debit
2025-07-10,Old Navy,19.766934157999525,28923.47273481295,Shopping,credit
2025-07-10,Medical Equipment,-11.791467227255708,28911.681267585693,Healthcare,debit
2025-07-10,Fitness Center,22.598706589514038,28934.279974175206,Entertainment,credit
2025-07-14,Home Maintenance,40.61454190302847,28974.894516078235,Housing,credit
2025-07-15,Sports Arena,-59.064841722750806,28915.829674355486,Entertainment,debit
2025-07-15,Walmart,19.987898794247016,28935.817573149732,Shopping,credit
2025-07-15,Adidas,66.97793828353184,29002.795511433265,Shopping,credit
2025-07-16,Target,44.29882747565519,29047.09433890892,Shopping,credit
